,RTYPE,STYPE,SPED,SIZE,CHARTER,VALID_NUM,API05B,ST_RANK,SIM_RANK,AA_NUM,AA_SIG,AI_NUM,AI_SIG,AS_NUM,AS_SIG,FI_NUM,FI_SIG,HI_NUM,HI_SIG,PI_NUM,PI_SIG,WH_NUM,WH_SIG,SD_NUM,SD_SIG,EL_NUM,EL_SIG,DI_NUM,DI_SIG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,P_FDAY,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_911,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E911,PCST_E911,CW_CSTE,VCST_M28,PCST_M28,VCST_M911,PCST_M911,CW_CSTM,VCST_S28,PCST_S28,VCST_S911,PCST_S911,CW_CSTS,VCST_H28,PCST_H28,VCST_H911,PCST_H911,CW_CSTH,VNRT_R28,PNRT_R28,CW_NRTR,VNRT_L28,PNRT_L28,CW_NRTL,VNRT_S28,PNRT_S28,CW_NRTS,VNRT_M28,PNRT_M28,CW_NRTM,VCHS_E911,PCHS_E911,CW_CHSE,VCHS_M911,PCHS_M911,CW_CHSM,TOT_28,TOT_911
10274,S,E,NA,NA,NA,171,866,9,9,4,No,5,No,6,No,1,No,24,No,0,No,129,Yes,38,No,2,No,19,No,2,3,3,1,15,0,75,18,51,11,0,2,0,11,No,4,96,96,19,30,NA,99,5,23,31,25,16,3.25,100,0,26,74,0,0,0,179,0,179,180.17748,171,82.08,0,0,53.6,171,54.72,0,0,35.7,40,8,0,0,5.2,0,0,0,0,0,42,2.52,1.6,42,1.26,0.8,42,1.26,0.8,42,3.36,2.2,0,0,0,0,0,0,153.2,0
5543,S,H,A,S,NA,28,588,B,B,2,No,2,No,0,No,0,No,8,No,0,No,15,No,6,No,3,No,2,No,7,10,1,0,35,1,42,37,2,12,0,6,9,9,No,64,36,85,NA,NA,NA,50,28,30,28,13,3,2.33,100,0,2,5,2,28,62,80,0,78,NA,10,4.8,18,5.4,36.6,10,3.2,18,3.6,24.4,1,0.2,18,2.7,10.4,4,0.8,11,2.475,11.7,4,0.24,0.9,4,0.12,0.4,4,0.12,0.4,4,0.32,1.1,7,2.1,7.5,6,1.8,6.5,9.8,18.075
4191,D,2,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,13,25,0,63,25,38,13,0,25,0,38,NA,0,100,100,7,NA,NA,100,25,37,0,37,0,2.5,100,0,13,88,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,S,H,E,S,NA,12,280,C,C,12,No,0,No,0,No,0,No,0,No,0,No,0,No,8,No,0,No,12,No,88,0,0,0,0,0,4,58,0,0,0,4,0,85,No,42,58,69,NA,NA,2,8,0,50,50,0,0,2.5,100,0,0,0,4,27,69,26,0,19,NA,4,1.92,7,2.1,25.6,4,1.28,8,1.6,18.3,0,0,8,1.2,7.6,1,0.2,4,0.9,7,3,0.18,1.1,3,0.09,0.6,3,0.09,0.6,2,0.16,1,10,3,19.1,10,3,19.1,3.92,11.8
4465,D,1,NA,NA,NA,340,754,B,B,3,No,32,No,0,No,2,No,85,Yes,1,No,211,Yes,155,Yes,54,No,55,Yes,2,10,0,1,25,0,61,44,11,0,0,10,8,17,NA,10,90,90,15,14,10,68,14,34,29,23,0,2.63,87,10,14,31,11,18,26,381,2,378,NA,245,117.6,95,28.5,47,245,78.4,95,19,31.3,40,8,95,14.25,7.2,32,6.4,53,11.925,5.9,50,3,1,50,1.5,0.5,50,1.5,0.5,50,4,1.3,28,8.4,2.7,28,8.4,2.7,220.4,90.475
76,S,H,NA,NA,Y,125,735,7,10,3,No,2,No,16,No,4,No,21,No,1,No,78,Yes,7,No,2,No,20,No,4,2,11,3,19,1,61,4,0,0,0,1,1,19,No,21,79,89,NA,NA,NA,100,4,15,26,33,23,3.54,100,0,7,18,13,26,36,160,1,159,158.84976,80,38.4,45,13.5,44.4,80,25.6,45,9,29.6,11,2.2,45,6.75,7.7,19,3.8,27,6.075,8.4,19,1.14,1,19,0.57,0.5,19,0.57,0.5,19,1.52,1.3,13,3.9,3.3,13,3.9,3.3,73.8,43.125
1985,D,1,NA,NA,NA,1267,731,B,B,24,No,46,No,9,No,5,No,239,Yes,7,No,893,Yes,599,Yes,127,No,136,Yes,2,4,1,0,19,1,70,46,18,2,3,9,2,11,NA,8,92,92,18,28,24,80,14,27,30,20,9,2.84,99,0,11,28,10,22,29,1383,9,1374,NA,889,426.72,375,112.5,45.2,889,284.48,377,75.4,30.2,110,22,377,56.55,6.6,146,29.2,223,50.175,6.7,224,13.44,1.1,224,6.72,0.6,224,6.72,0.6,224,17.92,1.5,151,45.3,3.8,154,46.2,3.9,807.2,386.125
4399,D,2,NA,S,NA,56,781,B,B,0,No,0,No,0,No,1,No,17,No,0,No,35,No,37,No,11,No,7,No,0,0,0,2,29,0,63,63,26,0,6,18,5,16,NA,10,90,90,18,23,NA,90,29,42,22,4,4,2.11,100,17,13,48,15,24,0,61,0,61,NA,56,26.88,0,0,53.2,55,17.6,0,0,34.8,11,2.2,0,0,4.4,4,0.8,0,0,1.6,16,0.96,1.9,16,0.48,0.9,15,0.45,0.9,15,1.2,2.4,0,0,0,0,0,0,50.57,0
5280,S,E,NA,NA,NA,493,797,7,6,15,No,3,No,42,No,26,No,190,Yes,0,No,217,Yes,181,Yes,123,Yes,58,No,3,1,9,5,38,0,44,33,39,4,0,22,5,12,No,3,96,96,21,30,NA,68,18,24,23,30,6,2.81,97,3,18,61,20,0,0,513,0,513,174.14325,493,236.64,0,0,54.6,493,157.76,0,0,36.4,94,18.8,0,0,4.3,0,0,0,0,0,103,6.18,1.4,103,3.09,0.7,103,3.09,0.7,103,8.24,1.9,0,0,0,0,0,0,433.8,0
1024,S,H,A,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,75,0,25,58,0,8,0,33,17,17,No,58,42,75,NA,NA,NA,75,67,11,11,11,0,1.67,100,0,0,0,0,17,83,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
